ref	title	price_supplier	price	author	category	hero	editor	supplier	ref_editor	ref_supplier	synopsis
BD000251	LES CAPRICES D'ERMA - T3	9.99	10.52	VARENNE	ÉROTIQUE	ERMA JAGUAR	ALBIN MICHEL	HACHETTE	6051445	9782226056849	Quand Erma réinvente le code amoureux...
BD000252	ARDEUR - T1	9.41	9.91	VARENNE / DANIEL	AVENTURE	ARDEUR	ALBIN MICHEL	HACHETTE	6003313	9782226017499	Alex VARENNE vous emmène dans ses fantasmes...
BD000253	WARSCHAU - T2	9.41	9.91	VARENNE / DANIEL	AVENTURE	ARDEUR	ALBIN MICHEL	HACHETTE	101359	9782226011060	Alex VARENNE vous emmène dans ses fantasmes...
BD000254	LA GRANDE FUGUE - T3	9.41	9.91	VARENNE / DANIEL	AVENTURE	ARDEUR	ALBIN MICHEL	HACHETTE	101358	9782226013088	Alex VARENNE vous emmène dans ses fantasmes...
BD000255	BERLIN STRASSE - T4	7.1	7.93	VARENNE / DANIEL	AVENTURE	ARDEUR	ALBIN MICHEL	HACHETTE	106552	9782226016515	Alex VARENNE vous emmène dans ses fantasmes...
BD000256	IDA MAUZ - T5	8.26	8.69	VARENNE / DANIEL	AVENTURE	ARDEUR	ALBIN MICHEL	HACHETTE	108769	9782226018724	Alex VARENNE vous emmène dans ses fantasmes...
BD000257	JACK LE VENGEUR - T6	8.26	8.69	VARENNE / DANIEL	AVENTURE	ARDEUR	ALBIN MICHEL	HACHETTE	116684	9782226027320	Alex VARENNE vous emmène dans ses fantasmes...
BD000258	L'AMOUR PROPRE	11.44	12.04	VEYRON	HUMOUR		ALBIN MICHEL	HACHETTE	6003818	9782226018090	
BD000259	EXECUTIVE WOMAN	11.44	12.04	VEYRON	HUMOUR		ALBIN MICHEL	HACHETTE	6050884	9782226025852	
BD000260	VITE	8.54	8.99	VEYRON	HUMOUR		ALBIN MICHEL	HACHETTE	6017214	9782226031662	
BD000261	DONC JEAN	9.99	10.52	VEYRON	HUMOUR		ALBIN MICHEL	HACHETTE	6051296	9782226048783	
BD000262	JIVARA	10.86	11.43	VEYRON	HUMOUR		ALBIN MICHEL	HACHETTE	6051486	9782226059147	
BD000263	CRU BOURGEOIS	11.44	12.04	VEYRON	HUMOUR		ALBIN MICHEL	HACHETTE	6052450	9782226105547	
BD000264	BERNARD LERMITE - T1	8.26	8.69	VEYRON	HUMOUR	BERNARD LERMITE	ALBIN MICHEL	HACHETTE	6002265	9782226014719	
BD000265	PLUS LOURD QUE L'AIR - T2	8.26	8.69	VEYRON	HUMOUR	BERNARD LERMITE	ALBIN MICHEL	HACHETTE	6013221	9782226014726	
BD000266	PERSONNELLEMENT JE VEUX PAS D'ENFANTS - T3	8.54	8.99	VEYRON	HUMOUR	BERNARD LERMITE	ALBIN MICHEL	HACHETTE	6002273	9782226014740	
BD000267	L'ETERNEL FEMININ DURE - T4	8.54	8.99	VEYRON	HUMOUR	BERNARD LERMITE	ALBIN MICHEL	HACHETTE	6013213	9782226014733	
BD000268	CE N'EST PLUS LE PEUPLE QUI GRONDE MAIS LE PUBLIC QUI REAGIT - T5	8.54	8.99	VEYRON	HUMOUR	BERNARD LERMITE	ALBIN MICHEL	HACHETTE	6018709	9782226032959	
BD000269	PEUT ON FUMER APRES LA MORT - T6	8.54	8.99	VEYRON	HUMOUR	BERNARD LERMITE	ALBIN MICHEL	HACHETTE	6051114	9782226032942	
BD000270	LE PAGURE EST CONNU - TOME 7	9.99	10.52	VEYRON	HUMOUR	BERNARD LERMITE	ALBIN MICHEL	HACHETTE	6051551	9782226061829	
BD000271	EDMOND LE COCHON VA EN AFRIQUE	6.52	6.86	VEYRON / ROCHETTE	HUMOUR	EDMOND LE COCHON	ALBIN MICHEL	HACHETTE	6002604	9782226014757	
BD000272	BREVES SUCREES SALEES DE SALON DE THE	11.44	12.04	WOLINSKI / DE TURQUEIM	HUMOUR		ALBIN MICHEL	HACHETTE	6056477	9782226109439	
BD000273	LES AVENTURES D'ALICE AU PAYS DU MERVEILLEUX AILLEURS	23.89	25.15	CAROLL / ROMANO		ALICE	AU BORD DES CONTINENTS	HACHETTE	5345129	9782911684173	
BD000274	LE MYSTERE CONTINENTAL	8.54	8.99	VEYRON / ROCHETTE	HUMOUR	EDMOND LE COCHON	ALBIN MICHEL	HACHETTE	6051569	9782226061898	
BD000275	PEAU DE CHAGRIN	11.3	11.89	VOLINE / ROTUNDO	HUMOUR		ALBIN MICHEL	HACHETTE	225938	9782226095349	
BD000276	TRAGIQUES DESTINS	8.54	8.99	VUILLEMIN	HUMOUR		ALBIN MICHEL	HACHETTE	6005839	9782226022820	
BD000277	LE MEILLEUR DE MOI MEME	13.76	14.48	VUILLEMIN	HUMOUR		ALBIN MICHEL	HACHETTE	6018444	9782226032928	
BD000278	PLAISIR D'OFFRIR	9.99	10.52	VUILLEMIN	HUMOUR		ALBIN MICHEL	HACHETTE	6051262	9782226039804	
BD000279	LE MONDE MERVEILLEUX DE VUILLEMIN	11.44	12.04	VUILLEMIN	HUMOUR		ALBIN MICHEL	HACHETTE	6051841	9782226078308	
BD000280	TOUT EST DANS LE SOURIRE	9.99	10.52	VUILLEMIN	HUMOUR		ALBIN MICHEL	HACHETTE	6052096	9782226093707	
BD000281	LES CHEFS D'OEUVRE DE VUILLEMIN	18.68	19.67	VUILLEMIN	HUMOUR		ALBIN MICHEL	HACHETTE	6052229	9782226095350	
BD000282	LES SALES BLAGUES DE L'ECHO - T1	8.54	8.99	VUILLEMIN	HUMOUR	LES SALES BLAGUES DE L'ECHO	ALBIN MICHEL	HACHETTE	6050991	9782226027368	
BD000283	LES SALES BLAGUES DE L'ECHO - T2	8.54	8.99	VUILLEMIN	HUMOUR	LES SALES BLAGUES DE L'ECHO	ALBIN MICHEL	HACHETTE	6051189	9782226037282	
BD000284	LES SALES BLAGUES DE L'ECHO - T3	8.54	8.99	VUILLEMIN	HUMOUR	LES SALES BLAGUES DE L'ECHO	ALBIN MICHEL	HACHETTE	6051320	9782226051578	
BD000285	LES SALES BLAGUES DE L'ECHO - T4	8.54	8.99	VUILLEMIN	HUMOUR	LES SALES BLAGUES DE L'ECHO	ALBIN MICHEL	HACHETTE	6051536	9782226061775	
BD000286	LES SALES BLAGUES DE L'ECHO - T5	8.54	8.99	VUILLEMIN	HUMOUR	LES SALES BLAGUES DE L'ECHO	ALBIN MICHEL	HACHETTE	6051783	9782226077417	
BD000287	LES SALES BLAGUES DE L'ECHO - T6	8.54	8.99	VUILLEMIN	HUMOUR	LES SALES BLAGUES DE L'ECHO	ALBIN MICHEL	HACHETTE	6052005	9782226088475	
BD000288	LES SALES BLAGUES DE L'ECHO - T7	8.54	8.99	VUILLEMIN	HUMOUR	LES SALES BLAGUES DE L'ECHO	ALBIN MICHEL	HACHETTE	6052351	9782226104441	
BD000289	RAOUL TEIGNEUX CONTRE LES DRUZES	8.54	8.99	VUILLEMIN / BERROYER	HUMOUR	RAOUL TEIGNEUX	ALBIN MICHEL	HACHETTE	6018220	9782226031617	
BD000290	EXIT - T1	8.54	8.99	WERBER	HUMOUR	EXIT	ALBIN MICHEL	HACHETTE	6052567	9782226104519	
BD000291	TOUT VA BIEN 200 DESSINS SUPER POSITIFS	14.19	14.94	WILLEM	HUMOUR	TOUT VA BIEN	ALBIN MICHEL	HACHETTE	6038079	9782226089014	
BD000292	LA BAGUE AU DOIGT	9.41	9.91	WOLINSKI	HUMOUR		ALBIN MICHEL	HACHETTE	6001671	9782226014344	
BD000293	LES SOCIALOS	12.89	13.57	WOLINSKI	HUMOUR		ALBIN MICHEL	HACHETTE	6023535	9782226053275	
BD000294	VOUS EN ETES ENCORE LA VOUS	11.44	12.04	WOLINSKI	HUMOUR		ALBIN MICHEL	HACHETTE	6051510	9782226060006	
BD000295	LE BAL DES RINGARDS	13.76	14.48	WOLINSKI	HUMOUR		ALBIN MICHEL	HACHETTE	6051601	9782226063755	
BD000296	DIS MOI QUE TU M'AIMES	11.44	12.04	WOLINSKI	HUMOUR		ALBIN MICHEL	HACHETTE			
BD000297	SCOOPETTE LA NYMPHO DE L'INFO	9.99	10.52	WOLINSKI	HUMOUR	SCOOPETTE	ALBIN MICHEL	HACHETTE	6052708	9782226069108	
BD000298	ENFIN DES VRAIS HOMMES	9.99	10.52	WOLINSKI	HUMOUR		ALBIN MICHEL	HACHETTE	6051726	9782226075611	
BD000299	NOUS SOMMES EN TRAIN DE NOUS EN SORTIR	11.44	12.04	WOLINSKI	HUMOUR		ALBIN MICHEL	HACHETTE	6051791	9782226077424	
BD000300	IL N'Y A PLUS DE VALEURS	9.99	10.52	WOLINSKI	HUMOUR		ALBIN MICHEL	HACHETTE	6051882	9782226079480	
BD000301	SACRE MITTERAND	12.89	13.57	WOLINSKI	HUMOUR		ALBIN MICHEL	HACHETTE	6035950	9782226085962	
BD000302	CAUSE TOUJOURS	12.89	13.57	WOLINSKI	HUMOUR		ALBIN MICHEL	HACHETTE	6052070	9782226085047	
BD000303	FAIS MOI PLAISIR	9.99	10.52	WOLINSKI	HUMOUR		ALBIN MICHEL	HACHETTE	6052153	9782226094667	
BD000304	MONSIEUR PAUL A CUBA	9.99	10.52	WOLINSKI	HUMOUR	MONSIEUR PAUL	ALBIN MICHEL	HACHETTE	6052286	9782226099532	
BD000305	TROP BEAU POUR ETRE VRAI	9.99	10.52	WOLINSKI	HUMOUR		ALBIN MICHEL	HACHETTE	6052344	9782226106285	
BD000306	SALES GOSSES	11.44	12.04	WOLINSKI	HUMOUR		ALBIN MICHEL	HACHETTE	6052583	9782226107435	
BD000307	TOUT PAULETTE	28.24	29.73	WOLINSKI / PICHARD	HUMOUR	PAULETTE	ALBIN MICHEL	HACHETTE	6052468	9782226105561	
BD000308	NICOTINE GOUDRON - T1	9.99	10.52	YANN / BODART	HUMOUR	NICOTINE	ALBIN MICHEL	HACHETTE	127583	9782226039835	
BD000309	L'INCURABLE NICOTINE - T2	8.54	8.99	YANN / BODART	HUMOUR	NICOTINE	ALBIN MICHEL	HACHETTE	131886	9782226056764	
BD000310	GIRLS GIRLS GIRLS - Rupture Editeur			WETZ	ÉROTIQUE	SELEN	VENTS D'OUEST	HACHETTE			Les pin-up, ces filles de papier n'ont d'autre destinée que de satisfaire le plaisir de nos yeux. Celles de cet album sont exhibitionnistes, et provocantes, et WETZ nous les offre ensorcelantes...
BD000311	OGENKI CLINIC - T2	9.99	10.52	HARUKA	MANGA ÉROTIQUE	OGENKI CLINIC	ALBIN MICHEL	HACHETTE	6051957	9782226088635	
BD000312	LE GRIMOIRE MAUDIT - T1	14.19	14.94	LALIA	FANTASTIQUE	LOVECRAFT	ALBIN MICHEL	HACHETTE	6052484	9782226105523	
BD000313	A LA POURSUITE DU PRINCE CHARMANT - T1	8.54	8.99	BUCHE / PERISSIN		HELENE CARTIER	ALPEN PUBLISHERS	HACHETTE	4345005	9782731607819	Hélène Cartier a deux maris. Le premier, aviateur, a disparu aux Indes. Le second, jaloux, part à la recherche du premier. Hélène suit ses deux époux au bout du monde, d'aventures excentriques en périéties extravagantes.
BD000314	LA RIVIERE DU GRAND RETOUR - T2	8.54	8.99	BUCHE / PERISSIN		HELENE CARTIER	ALPEN PUBLISHERS	HACHETTE	4345013	9782731610574	Hélène Cartier a deux maris. Le premier, aviateur, a disparu aux Indes. Le second, jaloux, part à la recherche du premier. Hélène suit ses deux époux au bout du monde, d'aventures excentriques en périéties extravagantes.
BD000315	MILLE MIGLIA - T1	8.54	8.99	CONSTANT / LAPIERE		MAURO CALDI	ALPEN PUBLISHERS	HACHETTE	4345021	9782883020306	Lorsqu'il ne résout pas des énigmes policières, Mauro Caldi pilote des Ferrari délicieusement rétros sur les routes italiennes. Humour, simplicité, action : un mélange digne des grandes séries des années 50.
BD000316	CINE CITTA - T2	8.54	8.99	CONSTANT / LAPIERE		MAURO CALDI	ALPEN PUBLISHERS	HACHETTE	4345039	9782883020313	Lorsqu'il ne résout pas des énigmes policières, Mauro Caldi pilote des Ferrari délicieusement rétros sur les routes italiennes. Humour, simplicité, action : un mélange digne des grandes séries des années 50.
BD000317	LA VOLEUSE - T3	8.54	8.99	CONSTANT / LAPIERE		MAURO CALDI	ALPEN PUBLISHERS	HACHETTE	4345047	9782883020320	Lorsqu'il ne résout pas des énigmes policières, Mauro Caldi pilote des Ferrari délicieusement rétros sur les routes italiennes. Humour, simplicité, action : un mélange digne des grandes séries des années 50.
BD000318	LA BAIE DES MENTEURS - T4	8.54	8.99	CONSTANT / LAPIERE		MAURO CALDI	ALPEN PUBLISHERS	HACHETTE	4345054	9782731609097	Lorsqu'il ne résout pas des énigmes policières, Mauro Caldi pilote des Ferrari délicieusement rétros sur les routes italiennes. Humour, simplicité, action : un mélange digne des grandes séries des années 50.
BD000319	LA GUERRE DES FAMILLES - T5	8.54	8.99	CONSTANT / LAPIERE		MAURO CALDI	ALPEN PUBLISHERS	HACHETTE	4345062	9782731610154	Lorsqu'il ne résout pas des énigmes policières, Mauro Caldi pilote des Ferrari délicieusement rétros sur les routes italiennes. Humour, simplicité, action : un mélange digne des grandes séries des années 50.
BD000320	LES VOLEURS DE FERRARI - T6	8.54	8.99	CONSTANT / LAPIERE		MAURO CALDI	ALPEN PUBLISHERS	HACHETTE	4345070	9782731610727	Lorsqu'il ne résout pas des énigmes policières, Mauro Caldi pilote des Ferrari délicieusement rétros sur les routes italiennes. Humour, simplicité, action : un mélange digne des grandes séries des années 50.
BD000321	ECHEC A BRAZERRO - T1	8.54	8.99	DERIB / JOB		PYTHAGORE	ALPEN PUBLISHERS	HACHETTE	4345088	9782883020023	Drôle d'oiseau, ce Pythagore, féru d'arithmétique et d'alcools forts. Ami fidèle, il assiste ses copains humains dans leurs périples à travers le monde. Par les auteurs de Yakari, la célèbre série pour enfants.
BD000322	OPERATION RHINO - T2	8.54	8.99	DERIB / JOB		PYTHAGORE	ALPEN PUBLISHERS	HACHETTE	4345096	9782883020139	Drôle d'oiseau, ce Pythagore, féru d'arithmétique et d'alcools forts. Ami fidèle, il assiste ses copains humains dans leurs périples à travers le monde. Par les auteurs de Yakari, la célèbre série pour enfants.
BD000323	LES GEANTS DE LA TOUNDRA - T3	8.54	8.99	DERIB / JOB		PYTHAGORE	ALPEN PUBLISHERS	HACHETTE	4345104	9782883020146	Drôle d'oiseau, ce Pythagore, féru d'arithmétique et d'alcools forts. Ami fidèle, il assiste ses copains humains dans leurs périples à travers le monde. Par les auteurs de Yakari, la célèbre série pour enfants.
BD000324	LA COLOMBE DE LA PLACE ROUGE - T1 - Arrêt de Commercialisation			MARINI / MARELLE / SMOLDEREN / POP		OLIVIER VARESE	ALPEN PUBLISHERS	HACHETTE	4345112	9782883020047	Olivier Varèse est un jeune journaliste de la vieille école, celle qui formait des aventuriers plutôt que des paparazzi. Une série nourrie à la BD d'action américaine et aux mangas japonais.
BD000325	BIENVENUE A KOKONINOWORLD - T2 - Arrêt de Commercialisation			MARINI / MARELLE / SMOLDEREN / POP		OLIVIER VARESE	ALPEN PUBLISHERS	HACHETTE	4345138	9782731608236	Olivier Varèse est un jeune journaliste de la vieille école, celle qui formait des aventuriers plutôt que des paparazzi. Une série nourrie à la BD d'action américaine et aux mangas japonais.
BD000326	RAID SUR KOKONINOWORLD - T3 - Arrêt de Commercialisation			MARINI / MARELLE / SMOLDEREN / POP		OLIVIER VARESE	ALPEN PUBLISHERS	HACHETTE	4345146	9782731610130	Olivier Varèse est un jeune journaliste de la vieille école, celle qui formait des aventuriers plutôt que des paparazzi. Une série nourrie à la BD d'action américaine et aux mangas japonais.
BD000327	LE PARFUM DU MAGNOLIA - T4 - Arrêt de Commercialisation			MARINI / MARELLE / SMOLDEREN / POP		OLIVIER VARESE	ALPEN PUBLISHERS	HACHETTE	4345120	9782731610796	Olivier Varèse est un jeune journaliste de la vieille école, celle qui formait des aventuriers plutôt que des paparazzi. Une série nourrie à la BD d'action américaine et aux mangas japonais.
BD000328	LE FANTOME DU MANDCHOU FOU - T1	8.54	8.99	SAVARD / FOREST		LEONID BEAUDRAGON	ALPEN PUBLISHERS	HACHETTE	4345153	9782883020238	Le dessinateur de Barbarella, Jean-Claude FOREST, a beaucoup écrit pour les autres. Ses scénarios sont une fête de malice, d'invention et d'intelligence. Parfaitement servis par le graphisme précis de SAVARD, ceux de Léonid Beaudragon, détective farfelu, ne dérogent pas à la règle.
BD000329	LA NUIT DES TOTEMS - T2 - Arrêt de commercialisation			SAVARD / FOREST		LEONID BEAUDRAGON	ALPEN PUBLISHERS	HACHETTE	4345161	9782883020054	Le dessinateur de Barbarella, Jean-Claude FOREST, a beaucoup écrit pour les autres. Ses scénarios sont une fête de malice, d'invention et d'intelligence. Parfaitement servis par le graphisme précis de SAVARD, ceux de Léonid Beaudragon, détective farfelu, ne dérogent pas à la règle.
BD000330	LE SCAPHANDRIER DU LUNDI - T3 - Arrêt de commercialisation			SAVARD / FOREST		LEONID BEAUDRAGON	ALPEN PUBLISHERS	HACHETTE	4345179	9782731609554	Le dessinateur de Barbarella, Jean-Claude FOREST, a beaucoup écrit pour les autres. Ses scénarios sont une fête de malice, d'invention et d'intelligence. Parfaitement servis par le graphisme précis de SAVARD, ceux de Léonid Beaudragon, détective farfelu, ne dérogent pas à la règle.
BD000331	TRAFIC EN INDOCHINE - T1	8.54	8.99	STANISLAS / RULLIER		VICTOR LEVALLOIS	ALPEN PUBLISHERS	HACHETTE	4345187	9782731608120	Victor Levallois n'a pas la tête de l'emploi. Avec ses airs de premier de la classe, il se retrouve pourtant plongé dans un tourbillon d'aventures périlleuses, dans l'Indochine française ou le trouble Paris de l'après-guerre.
BD000332	LA ROUTE DE CAO BANG - T2	8.54	8.99	STANISLAS / RULLIER		VICTOR LEVALLOIS	ALPEN PUBLISHERS	HACHETTE	4345195	9782731609462	Victor Levallois n'a pas la tête de l'emploi. Avec ses airs de premier de la classe, il se retrouve pourtant plongé dans un tourbillon d'aventures périlleuses, dans l'Indochine française ou le trouble Paris de l'après-guerre.
BD000333	LE MANCHOT DE LA BUTTE ROUGE - T3	8.54	8.99	STANISLAS / RULLIER		VICTOR LEVALLOIS	ALPEN PUBLISHERS	HACHETTE	4345203	9782731611274	Victor Levallois n'a pas la tête de l'emploi. Avec ses airs de premier de la classe, il se retrouve pourtant plongé dans un tourbillon d'aventures périlleuses, dans l'Indochine française ou le trouble Paris de l'après-guerre.
BD000334	LES CHIENS MEURENT EN HIVER - T1	8.98	9.45	SWOLFS		DURANGO	HUMANOIDES ASSOCIES	HACHETTE	4345310	9782731609714	Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.
BD000335	LES FORCES DE LA COLERE - T2	8.98	9.45	SWOLFS		DURANGO	HUMANOIDES ASSOCIES	HACHETTE	4345328	9782731609721	Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.
BD000336	PIEGE POUR UN TUEUR - T3	8.98	9.45	SWOLFS		DURANGO	HUMANOIDES ASSOCIES	HACHETTE	4345336	9782731609738	Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.
BD000337	AMOS - T4	8.98	9.45	SWOLFS		DURANGO	HUMANOIDES ASSOCIES	HACHETTE	4345211	9782731609745	Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.
BD000338	SIERRA SAUVAGE - T5	8.98	9.45	SWOLFS		DURANGO	HUMANOIDES ASSOCIES	HACHETTE	4345229	9782731609752	Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.
BD000339	LE DESTIN D'UN DESPERADO - T6	8.98	9.45	SWOLFS		DURANGO	HUMANOIDES ASSOCIES	HACHETTE	4345237	9782731609769	Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.
BD000340	LONEVILLE - T7	8.98	9.45	SWOLFS		DURANGO	HUMANOIDES ASSOCIES	HACHETTE	4345245	9782731607772	Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.
BD000341	UNE RAISON POUR MOURIR - T8	8.98	9.45	SWOLFS		DURANGO	ALPEN PUBLISHERS	HACHETTE	4345252	9782731609783	Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.
BD000342	L'OR DE DUNCAN - T9	8.98	9.45	SWOLFS		DURANGO	ALPEN PUBLISHERS	HACHETTE	4345260	9782731609790	Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.
BD000343	LA PROIE DES CHACALS - T10	8.98	9.45	SWOLFS		DURANGO	ALPEN PUBLISHERS	HACHETTE	4345278	9782731609806	Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.
BD000344	COLORADO - T11	8.98	9.45	SWOLFS		DURANGO	ALPEN PUBLISHERS	HACHETTE	4345286	9782731610505	Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.
BD000345	L'HERITIERE - T12	8.98	9.45	SWOLFS		DURANGO	ALPEN PUBLISHERS	HACHETTE	4345294	9782731610970	Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.
BD000346	SANS PITIE - T13	8.98	9.45	SWOLFS		DURANGO	ALPEN PUBLISHERS	HACHETTE	4348090	9782731612721	Durango est un héros courageux et solitaire, impitoyable mais sentimental, véritable défenseur de la loi et du bien. Une série violente et mouvementée, dans la lignée des plus grands western spaghetti.
BD000347	HELVETIKA - T1	9.99	10.52	KALONJI		HELVETIKA	PAQUET	HACHETTE	5349162	9782940199198	
BD000348	HORS SERIE 20 ANS DE GENIE	8.26	8.69	TURK / DE GROOT	HUMOUR	LÉONARD	DARGAUD	MDS	01621NE	9782884250061	
BD000349	FLAGRANT GENIE - T19	8.26	8.69	TURK / DE GROOT	HUMOUR	LÉONARD	DARGAUD	MDS	01640NE	9782884250009	
BD000350	CIEL MON GENIE - T20	8.26	8.69	TURK / DE GROOT	HUMOUR	LÉONARD	DARGAUD	MDS	01641NE	9782884250016	
BD000351	UN AIR DE GENIE - T21	8.26	8.69	TURK / DE GROOT	HUMOUR	LÉONARD	DARGAUD	MDS	01642NE	9782884250023	
BD000352	CADEAU DE GENIE - T22	8.26	8.69	TURK / DE GROOT	HUMOUR	LÉONARD	DARGAUD	MDS	01643NE	9782884250030	
BD000353	POIL AU GENIE - T23	8.26	8.69	TURK / DE GROOT	HUMOUR	LÉONARD	DARGAUD	MDS	01644NE	9782884250047	
BD000354	TEMPS DE GENIE - T24	8.26	8.69	TURK / DE GROOT	HUMOUR	LÉONARD	DARGAUD	MDS	01645NE	9782884250054	
BD000355	D'OU VIENS TU GENIE - T25	8.26	8.69	TURK / DE GROOT	HUMOUR	LÉONARD	DARGAUD	MDS	01646NE	9782884250078	
BD000356	GENIE OR NOT GENIE - T26	8.26	8.69	TURK / DE GROOT	HUMOUR	LÉONARD	DARGAUD	MDS	01647NE	9782884250092	
BD000357	ON A MARCHE SUR LE GENIE - T27	8.26	8.69	TURK / DE GROOT	HUMOUR	LÉONARD	DARGAUD	MDS	1648	9782884250115	
BD000358	GENIE TOUJOURS PRÊT - T28	8.26	8.69	TURK / DE GROOT	HUMOUR	LÉONARD	DARGAUD	MDS	1649	9782884250122	
BD000359	ON ACHEVE BIEN LES 2CV - T1	8.54	8.99	ACHDE	HUMOUR	LES DAMNÉS DE LA ROUTE	BAMBOO	HAVAS	276167	9782912715180	A son bord, la vie n'est pas une longue autoroute tranquille, et comme nous tous, la famille Lerbag en fait le constat tous les jours ! De parking en parcmètres, de garages en fourrières, de pannes en P.V, celle qui doit leur simplifier la route, leur pourrit l'existence.Du plaisir d'essence à l'enfer mécanique, bourres et déboires de nos héros de l'asphalte. P.S : le contrôle technique de cet album est O.K !
BD000360	LES CHARIOTS SAUVAGES	8.54	8.99	AMOURIQ / ANDRE	HUMOUR	LES ZYPERS	BAMBOO	HAVAS	276169	9782912715203	Les Zypers d'AMOURIQ, c'est comme les grandes surfaces, une fois qu'on est entré, on ne peut pas s'empêcher de consommer ! Sauf qu'ici, il n'y a qu'un rayon : l'humour. Un rayon toujours bien achalandé ou chaque gag a l'art de titiller nos petits défauts de grands consommateurs. Prêts à subir l'assaut des Chariots Sauvages ? Alors à vos caddies et faites le plein de bonne humeur.
BD000361	PETIT SPIROU INTEGRALE N° 1	12.89	13.57	TOME	HUMOUR	LE PETIT SPIROU	NIFFLE COHEN	HAVAS	276944	9782873930219	
BD000362	TANTE HENRIETTE OU L'ELOGE DE L'AVARICE - Rupture Editeur			DETHAN		TANTE HENRIETTE	DELCOURT	FLAMMARION			En 1976, lors de vacances dans le Périgord, une petite fille fait la connaissance de sa grand-tante. Issue de la très haute bourgeoisie, à l'abri du besoin toute sa vie, Tante Henriette a pourtant développé un trait de caractère très marqué que la petite fille découvre à travers son histoire personnelle et une série d'anecdotes étonnantes : elle a élevé l'avarice au rang d'un véritable art de vivre... Album 96 pages noir et blanc
BD000363	UN PEU DE FUMEE BLEUE	11.44	12.04	PELLEJERO / LAPIERE	AVENTURE		DUPUIS	HACHETTE			Une boîte ouverte. Six cigarettes alignées sur le comptoir. Écrits à la main, sur chacune d'elles, quelques mots. Mis bout à bout, les mots se font poème. Le tabac est vieux et les cigarettes laissent au fond de la bouche un goût amer. Pourquoi ces mots ? Quelle histoire derrière cette fumée qui s'échappe en volutes bleues ? Laura en connaît plusieurs débuts. Il y est question de prisonniers qui souffrent et de femmes qui pleurent. En connaît-elle la fin ?
BD000364	CASA HOWHARD	12.04	12.04	BALDAZZINI		CASA HOWHARD	GEISHA	HACHETTE	5353073		Elégantes, féminines et mystérieuses. Une nouvelle race d'héroïnes, hommes et femmes à la fois !
BD000365	PACK GORD T1 + T4	11.44	12.04	DENAYER / FRANZ		GORD	JOKER EDITIONS	HACHETTE	5330824	9782862651259	
BD000366	COFFRET GORD 4 VOLUMES	50.11	52.75	DENAYER / FRANZ		GORD	JOKER EDITIONS	HACHETTE	5330923	9782872651498	
BD000367	CAPTAIN PIRATE - T1	8.54	8.99	BELIN / HERVAL		CAPTAIN PIRATE	NUCLÉA	HACHETTE	5060009	9782914235211	Vous rêviez des Caraïbes, de ses plages de sable fin, des tropiques, vous allez être servis ! Hissez la grand voile, moussaillons, l'heure de l'aventure a sonné. Prenez un Captain, pirate au long cours, français, bourru et prêt à tout. Faites le cohabiter avec une jeune espagnole, Inès, petite gamine éprise de bonnes manières flibustières, en un mot, une teigne. Ajoutez un oncle âpre au gain, un gamin ravageur de St Malo et placez le tout en plein 17ème siècle. Une aventure pétillante et pleine d'humour qui vous entraîne dans de nombreux rebondissements à rythme soutenu.
BD000368	PAS SI BÊTE - T1	9.99	10.52	RUTHE		PAS SI BÊTE	JOKER EDITIONS	HACHETTE	5330832	9782872651108	
BD000369	PAS SI BÊTE - T2	9.99	10.52	RUTHE		PAS SI BÊTE	JOKER EDITIONS	HACHETTE	5330790	9782872651368	
BD000370	L'INVASION	11.44	12.04	ARNON			ALBIN MICHEL	HACHETTE	6056535	9782226114686	
